participant_id	session_id	task	run	ProtocolName	SeriesDescription	SeriesNumber	SeriesTime	Echo	Magnitude_or_Phase	fmri_number_from_protocol	RepetitionTime	nifti_path	json_path	nifti_exists	has_events_tsv
sub-071	ses-01	fmri	6	fMRI1_AP	fMRI1_AP	4			phase	1	0.937	/home/alexrees/scratch/bids/sub-071/ses-01/func/sub-071_ses-01_task-fmri_run-06_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-071/ses-01/func/sub-071_ses-01_task-fmri_run-06_part-phase_bold.json	True	False
sub-071	ses-01	fmri	7	fMRI2_AP	fMRI2_AP	7			mag	2	0.937	/home/alexrees/scratch/bids/sub-071/ses-01/func/sub-071_ses-01_task-fmri_run-07_bold.nii.gz	/home/alexrees/scratch/bids/sub-071/ses-01/func/sub-071_ses-01_task-fmri_run-07_bold.json	True	True
sub-071	ses-01	fmri	8	fMRI2_AP	fMRI2_AP	8			phase	2	0.937	/home/alexrees/scratch/bids/sub-071/ses-01/func/sub-071_ses-01_task-fmri_run-08_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-071/ses-01/func/sub-071_ses-01_task-fmri_run-08_part-phase_bold.json	True	False
sub-072	ses-01	fmri	1	fMRI3_AP	fMRI3_AP	11			mag	3	0.937	/home/alexrees/scratch/bids/sub-072/ses-01/func/sub-072_ses-01_task-fmri_run-01_bold.nii.gz	/home/alexrees/scratch/bids/sub-072/ses-01/func/sub-072_ses-01_task-fmri_run-01_bold.json	True	True
sub-072	ses-01	fmri	2	fMRI3_AP	fMRI3_AP	12			phase	3	0.937	/home/alexrees/scratch/bids/sub-072/ses-01/func/sub-072_ses-01_task-fmri_run-02_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-072/ses-01/func/sub-072_ses-01_task-fmri_run-02_part-phase_bold.json	True	False
sub-072	ses-01	fmri	3	fMRI4_AP	fMRI4_AP	19			mag	4	0.937	/home/alexrees/scratch/bids/sub-072/ses-01/func/sub-072_ses-01_task-fmri_run-03_bold.nii.gz	/home/alexrees/scratch/bids/sub-072/ses-01/func/sub-072_ses-01_task-fmri_run-03_bold.json	True	True
sub-072	ses-01	fmri	4	fMRI4_AP	fMRI4_AP	20			phase	4	0.937	/home/alexrees/scratch/bids/sub-072/ses-01/func/sub-072_ses-01_task-fmri_run-04_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-072/ses-01/func/sub-072_ses-01_task-fmri_run-04_part-phase_bold.json	True	False
sub-072	ses-01	fmri	5	fMRI1_AP	fMRI1_AP	3			mag	1	0.937	/home/alexrees/scratch/bids/sub-072/ses-01/func/sub-072_ses-01_task-fmri_run-05_bold.nii.gz	/home/alexrees/scratch/bids/sub-072/ses-01/func/sub-072_ses-01_task-fmri_run-05_bold.json	True	True
sub-072	ses-01	fmri	6	fMRI1_AP	fMRI1_AP	4			phase	1	0.937	/home/alexrees/scratch/bids/sub-072/ses-01/func/sub-072_ses-01_task-fmri_run-06_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-072/ses-01/func/sub-072_ses-01_task-fmri_run-06_part-phase_bold.json	True	False
sub-072	ses-01	fmri	7	fMRI2_AP	fMRI2_AP	7			mag	2	0.937	/home/alexrees/scratch/bids/sub-072/ses-01/func/sub-072_ses-01_task-fmri_run-07_bold.nii.gz	/home/alexrees/scratch/bids/sub-072/ses-01/func/sub-072_ses-01_task-fmri_run-07_bold.json	True	True
sub-072	ses-01	fmri	8	fMRI2_AP	fMRI2_AP	8			phase	2	0.937	/home/alexrees/scratch/bids/sub-072/ses-01/func/sub-072_ses-01_task-fmri_run-08_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-072/ses-01/func/sub-072_ses-01_task-fmri_run-08_part-phase_bold.json	True	False
sub-072	ses-02	fmri	1	fMRI3_AP	fMRI3_AP	15			mag	3	0.937	/home/alexrees/scratch/bids/sub-072/ses-02/func/sub-072_ses-02_task-fmri_run-01_bold.nii.gz	/home/alexrees/scratch/bids/sub-072/ses-02/func/sub-072_ses-02_task-fmri_run-01_bold.json	True	True
sub-072	ses-02	fmri	2	fMRI3_AP	fMRI3_AP	16			phase	3	0.937	/home/alexrees/scratch/bids/sub-072/ses-02/func/sub-072_ses-02_task-fmri_run-02_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-072/ses-02/func/sub-072_ses-02_task-fmri_run-02_part-phase_bold.json	True	False
sub-072	ses-02	fmri	3	fMRI4_AP	fMRI4_AP	19			mag	4	0.937	/home/alexrees/scratch/bids/sub-072/ses-02/func/sub-072_ses-02_task-fmri_run-03_bold.nii.gz	/home/alexrees/scratch/bids/sub-072/ses-02/func/sub-072_ses-02_task-fmri_run-03_bold.json	True	True
sub-072	ses-02	fmri	4	fMRI4_AP	fMRI4_AP	20			phase	4	0.937	/home/alexrees/scratch/bids/sub-072/ses-02/func/sub-072_ses-02_task-fmri_run-04_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-072/ses-02/func/sub-072_ses-02_task-fmri_run-04_part-phase_bold.json	True	False
sub-072	ses-02	fmri	5	fMRI1_AP	fMRI1_AP	3			mag	1	0.937	/home/alexrees/scratch/bids/sub-072/ses-02/func/sub-072_ses-02_task-fmri_run-05_bold.nii.gz	/home/alexrees/scratch/bids/sub-072/ses-02/func/sub-072_ses-02_task-fmri_run-05_bold.json	True	True
sub-072	ses-02	fmri	6	fMRI1_AP	fMRI1_AP	4			phase	1	0.937	/home/alexrees/scratch/bids/sub-072/ses-02/func/sub-072_ses-02_task-fmri_run-06_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-072/ses-02/func/sub-072_ses-02_task-fmri_run-06_part-phase_bold.json	True	False
sub-072	ses-02	fmri	7	fMRI2_AP	fMRI2_AP	7			mag	2	0.937	/home/alexrees/scratch/bids/sub-072/ses-02/func/sub-072_ses-02_task-fmri_run-07_bold.nii.gz	/home/alexrees/scratch/bids/sub-072/ses-02/func/sub-072_ses-02_task-fmri_run-07_bold.json	True	True
sub-072	ses-02	fmri	8	fMRI2_AP	fMRI2_AP	8			phase	2	0.937	/home/alexrees/scratch/bids/sub-072/ses-02/func/sub-072_ses-02_task-fmri_run-08_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-072/ses-02/func/sub-072_ses-02_task-fmri_run-08_part-phase_bold.json	True	False
sub-073	ses-01	fmri	1	fMRI3_AP	fMRI3_AP	11			mag	3	0.937	/home/alexrees/scratch/bids/sub-073/ses-01/func/sub-073_ses-01_task-fmri_run-01_bold.nii.gz	/home/alexrees/scratch/bids/sub-073/ses-01/func/sub-073_ses-01_task-fmri_run-01_bold.json	True	True
sub-073	ses-01	fmri	2	fMRI3_AP	fMRI3_AP	12			phase	3	0.937	/home/alexrees/scratch/bids/sub-073/ses-01/func/sub-073_ses-01_task-fmri_run-02_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-073/ses-01/func/sub-073_ses-01_task-fmri_run-02_part-phase_bold.json	True	False
sub-073	ses-01	fmri	3	fMRI4_AP	fMRI4_AP	15			mag	4	0.937	/home/alexrees/scratch/bids/sub-073/ses-01/func/sub-073_ses-01_task-fmri_run-03_bold.nii.gz	/home/alexrees/scratch/bids/sub-073/ses-01/func/sub-073_ses-01_task-fmri_run-03_bold.json	True	True
sub-073	ses-01	fmri	4	fMRI4_AP	fMRI4_AP	16			phase	4	0.937	/home/alexrees/scratch/bids/sub-073/ses-01/func/sub-073_ses-01_task-fmri_run-04_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-073/ses-01/func/sub-073_ses-01_task-fmri_run-04_part-phase_bold.json	True	False
sub-073	ses-01	fmri	5	fMRI1_AP	fMRI1_AP	3			mag	1	0.937	/home/alexrees/scratch/bids/sub-073/ses-01/func/sub-073_ses-01_task-fmri_run-05_bold.nii.gz	/home/alexrees/scratch/bids/sub-073/ses-01/func/sub-073_ses-01_task-fmri_run-05_bold.json	True	True
sub-073	ses-01	fmri	6	fMRI1_AP	fMRI1_AP	4			phase	1	0.937	/home/alexrees/scratch/bids/sub-073/ses-01/func/sub-073_ses-01_task-fmri_run-06_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-073/ses-01/func/sub-073_ses-01_task-fmri_run-06_part-phase_bold.json	True	False
sub-073	ses-01	fmri	7	fMRI2_AP	fMRI2_AP	7			mag	2	0.937	/home/alexrees/scratch/bids/sub-073/ses-01/func/sub-073_ses-01_task-fmri_run-07_bold.nii.gz	/home/alexrees/scratch/bids/sub-073/ses-01/func/sub-073_ses-01_task-fmri_run-07_bold.json	True	True
sub-073	ses-01	fmri	8	fMRI2_AP	fMRI2_AP	8			phase	2	0.937	/home/alexrees/scratch/bids/sub-073/ses-01/func/sub-073_ses-01_task-fmri_run-08_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-073/ses-01/func/sub-073_ses-01_task-fmri_run-08_part-phase_bold.json	True	False
sub-073	ses-02	fmri	1	fMRI3_AP	fMRI3_AP	15			mag	3	0.937	/home/alexrees/scratch/bids/sub-073/ses-02/func/sub-073_ses-02_task-fmri_run-01_bold.nii.gz	/home/alexrees/scratch/bids/sub-073/ses-02/func/sub-073_ses-02_task-fmri_run-01_bold.json	True	True
sub-073	ses-02	fmri	2	fMRI3_AP	fMRI3_AP	16			phase	3	0.937	/home/alexrees/scratch/bids/sub-073/ses-02/func/sub-073_ses-02_task-fmri_run-02_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-073/ses-02/func/sub-073_ses-02_task-fmri_run-02_part-phase_bold.json	True	False
sub-073	ses-02	fmri	3	fMRI4_AP	fMRI4_AP	19			mag	4	0.937	/home/alexrees/scratch/bids/sub-073/ses-02/func/sub-073_ses-02_task-fmri_run-03_bold.nii.gz	/home/alexrees/scratch/bids/sub-073/ses-02/func/sub-073_ses-02_task-fmri_run-03_bold.json	True	True
sub-073	ses-02	fmri	4	fMRI4_AP	fMRI4_AP	20			phase	4	0.937	/home/alexrees/scratch/bids/sub-073/ses-02/func/sub-073_ses-02_task-fmri_run-04_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-073/ses-02/func/sub-073_ses-02_task-fmri_run-04_part-phase_bold.json	True	False
sub-073	ses-02	fmri	5	fMRI1_AP	fMRI1_AP	3			mag	1	0.937	/home/alexrees/scratch/bids/sub-073/ses-02/func/sub-073_ses-02_task-fmri_run-05_bold.nii.gz	/home/alexrees/scratch/bids/sub-073/ses-02/func/sub-073_ses-02_task-fmri_run-05_bold.json	True	True
sub-073	ses-02	fmri	6	fMRI1_AP	fMRI1_AP	4			phase	1	0.937	/home/alexrees/scratch/bids/sub-073/ses-02/func/sub-073_ses-02_task-fmri_run-06_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-073/ses-02/func/sub-073_ses-02_task-fmri_run-06_part-phase_bold.json	True	False
sub-073	ses-02	fmri	7	fMRI2_AP	fMRI2_AP	7			mag	2	0.937	/home/alexrees/scratch/bids/sub-073/ses-02/func/sub-073_ses-02_task-fmri_run-07_bold.nii.gz	/home/alexrees/scratch/bids/sub-073/ses-02/func/sub-073_ses-02_task-fmri_run-07_bold.json	True	True
sub-073	ses-02	fmri	8	fMRI2_AP	fMRI2_AP	8			phase	2	0.937	/home/alexrees/scratch/bids/sub-073/ses-02/func/sub-073_ses-02_task-fmri_run-08_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-073/ses-02/func/sub-073_ses-02_task-fmri_run-08_part-phase_bold.json	True	False
sub-074	ses-01	fmri	1	fMRI3_AP	fMRI3_AP	15			mag	3	0.937	/home/alexrees/scratch/bids/sub-074/ses-01/func/sub-074_ses-01_task-fmri_run-01_bold.nii.gz	/home/alexrees/scratch/bids/sub-074/ses-01/func/sub-074_ses-01_task-fmri_run-01_bold.json	True	True
sub-074	ses-01	fmri	2	fMRI3_AP	fMRI3_AP	16			phase	3	0.937	/home/alexrees/scratch/bids/sub-074/ses-01/func/sub-074_ses-01_task-fmri_run-02_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-074/ses-01/func/sub-074_ses-01_task-fmri_run-02_part-phase_bold.json	True	False
sub-074	ses-01	fmri	3	fMRI4_AP	fMRI4_AP	19			mag	4	0.937	/home/alexrees/scratch/bids/sub-074/ses-01/func/sub-074_ses-01_task-fmri_run-03_bold.nii.gz	/home/alexrees/scratch/bids/sub-074/ses-01/func/sub-074_ses-01_task-fmri_run-03_bold.json	True	True
sub-074	ses-01	fmri	4	fMRI4_AP	fMRI4_AP	20			phase	4	0.937	/home/alexrees/scratch/bids/sub-074/ses-01/func/sub-074_ses-01_task-fmri_run-04_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-074/ses-01/func/sub-074_ses-01_task-fmri_run-04_part-phase_bold.json	True	False
sub-074	ses-01	fmri	5	fMRI1_AP	fMRI1_AP	3			mag	1	0.937	/home/alexrees/scratch/bids/sub-074/ses-01/func/sub-074_ses-01_task-fmri_run-05_bold.nii.gz	/home/alexrees/scratch/bids/sub-074/ses-01/func/sub-074_ses-01_task-fmri_run-05_bold.json	True	True
sub-074	ses-01	fmri	6	fMRI1_AP	fMRI1_AP	4			phase	1	0.937	/home/alexrees/scratch/bids/sub-074/ses-01/func/sub-074_ses-01_task-fmri_run-06_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-074/ses-01/func/sub-074_ses-01_task-fmri_run-06_part-phase_bold.json	True	False
sub-074	ses-01	fmri	7	fMRI2_AP	fMRI2_AP	7			mag	2	0.937	/home/alexrees/scratch/bids/sub-074/ses-01/func/sub-074_ses-01_task-fmri_run-07_bold.nii.gz	/home/alexrees/scratch/bids/sub-074/ses-01/func/sub-074_ses-01_task-fmri_run-07_bold.json	True	True
sub-074	ses-01	fmri	8	fMRI2_AP	fMRI2_AP	8			phase	2	0.937	/home/alexrees/scratch/bids/sub-074/ses-01/func/sub-074_ses-01_task-fmri_run-08_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-074/ses-01/func/sub-074_ses-01_task-fmri_run-08_part-phase_bold.json	True	False
sub-074	ses-02	fmri	1	fMRI3_AP	fMRI3_AP	15			mag	3	0.937	/home/alexrees/scratch/bids/sub-074/ses-02/func/sub-074_ses-02_task-fmri_run-01_bold.nii.gz	/home/alexrees/scratch/bids/sub-074/ses-02/func/sub-074_ses-02_task-fmri_run-01_bold.json	True	True
sub-074	ses-02	fmri	2	fMRI3_AP	fMRI3_AP	16			phase	3	0.937	/home/alexrees/scratch/bids/sub-074/ses-02/func/sub-074_ses-02_task-fmri_run-02_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-074/ses-02/func/sub-074_ses-02_task-fmri_run-02_part-phase_bold.json	True	False
sub-074	ses-02	fmri	3	fMRI4_AP	fMRI4_AP	19			mag	4	0.937	/home/alexrees/scratch/bids/sub-074/ses-02/func/sub-074_ses-02_task-fmri_run-03_bold.nii.gz	/home/alexrees/scratch/bids/sub-074/ses-02/func/sub-074_ses-02_task-fmri_run-03_bold.json	True	True
sub-074	ses-02	fmri	4	fMRI4_AP	fMRI4_AP	20			phase	4	0.937	/home/alexrees/scratch/bids/sub-074/ses-02/func/sub-074_ses-02_task-fmri_run-04_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-074/ses-02/func/sub-074_ses-02_task-fmri_run-04_part-phase_bold.json	True	False
sub-074	ses-02	fmri	5	fMRI1_AP	fMRI1_AP	3			mag	1	0.937	/home/alexrees/scratch/bids/sub-074/ses-02/func/sub-074_ses-02_task-fmri_run-05_bold.nii.gz	/home/alexrees/scratch/bids/sub-074/ses-02/func/sub-074_ses-02_task-fmri_run-05_bold.json	True	True
sub-074	ses-02	fmri	6	fMRI1_AP	fMRI1_AP	4			phase	1	0.937	/home/alexrees/scratch/bids/sub-074/ses-02/func/sub-074_ses-02_task-fmri_run-06_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-074/ses-02/func/sub-074_ses-02_task-fmri_run-06_part-phase_bold.json	True	False
sub-074	ses-02	fmri	7	fMRI2_AP	fMRI2_AP	7			mag	2	0.937	/home/alexrees/scratch/bids/sub-074/ses-02/func/sub-074_ses-02_task-fmri_run-07_bold.nii.gz	/home/alexrees/scratch/bids/sub-074/ses-02/func/sub-074_ses-02_task-fmri_run-07_bold.json	True	True
sub-074	ses-02	fmri	8	fMRI2_AP	fMRI2_AP	8			phase	2	0.937	/home/alexrees/scratch/bids/sub-074/ses-02/func/sub-074_ses-02_task-fmri_run-08_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-074/ses-02/func/sub-074_ses-02_task-fmri_run-08_part-phase_bold.json	True	False
sub-075	ses-01	fmri	1	fMRI3_AP	fMRI3_AP	15			mag	3	0.937	/home/alexrees/scratch/bids/sub-075/ses-01/func/sub-075_ses-01_task-fmri_run-01_bold.nii.gz	/home/alexrees/scratch/bids/sub-075/ses-01/func/sub-075_ses-01_task-fmri_run-01_bold.json	True	True
sub-075	ses-01	fmri	2	fMRI3_AP	fMRI3_AP	16			phase	3	0.937	/home/alexrees/scratch/bids/sub-075/ses-01/func/sub-075_ses-01_task-fmri_run-02_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-075/ses-01/func/sub-075_ses-01_task-fmri_run-02_part-phase_bold.json	True	False
sub-075	ses-01	fmri	3	fMRI4_AP	fMRI4_AP	19			mag	4	0.937	/home/alexrees/scratch/bids/sub-075/ses-01/func/sub-075_ses-01_task-fmri_run-03_bold.nii.gz	/home/alexrees/scratch/bids/sub-075/ses-01/func/sub-075_ses-01_task-fmri_run-03_bold.json	True	True
sub-075	ses-01	fmri	4	fMRI4_AP	fMRI4_AP	20			phase	4	0.937	/home/alexrees/scratch/bids/sub-075/ses-01/func/sub-075_ses-01_task-fmri_run-04_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-075/ses-01/func/sub-075_ses-01_task-fmri_run-04_part-phase_bold.json	True	False
sub-075	ses-01	fmri	5	fMRI1_AP	fMRI1_AP	3			mag	1	0.937	/home/alexrees/scratch/bids/sub-075/ses-01/func/sub-075_ses-01_task-fmri_run-05_bold.nii.gz	/home/alexrees/scratch/bids/sub-075/ses-01/func/sub-075_ses-01_task-fmri_run-05_bold.json	True	True
sub-075	ses-01	fmri	6	fMRI1_AP	fMRI1_AP	4			phase	1	0.937	/home/alexrees/scratch/bids/sub-075/ses-01/func/sub-075_ses-01_task-fmri_run-06_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-075/ses-01/func/sub-075_ses-01_task-fmri_run-06_part-phase_bold.json	True	False
sub-075	ses-01	fmri	7	fMRI2_AP	fMRI2_AP	7			mag	2	0.937	/home/alexrees/scratch/bids/sub-075/ses-01/func/sub-075_ses-01_task-fmri_run-07_bold.nii.gz	/home/alexrees/scratch/bids/sub-075/ses-01/func/sub-075_ses-01_task-fmri_run-07_bold.json	True	True
sub-075	ses-01	fmri	8	fMRI2_AP	fMRI2_AP	8			phase	2	0.937	/home/alexrees/scratch/bids/sub-075/ses-01/func/sub-075_ses-01_task-fmri_run-08_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-075/ses-01/func/sub-075_ses-01_task-fmri_run-08_part-phase_bold.json	True	False
sub-076	ses-01	fmri	1	fMRI3_AP	fMRI3_AP	15			mag	3	0.937	/home/alexrees/scratch/bids/sub-076/ses-01/func/sub-076_ses-01_task-fmri_run-01_bold.nii.gz	/home/alexrees/scratch/bids/sub-076/ses-01/func/sub-076_ses-01_task-fmri_run-01_bold.json	True	True
sub-076	ses-01	fmri	2	fMRI3_AP	fMRI3_AP	16			phase	3	0.937	/home/alexrees/scratch/bids/sub-076/ses-01/func/sub-076_ses-01_task-fmri_run-02_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-076/ses-01/func/sub-076_ses-01_task-fmri_run-02_part-phase_bold.json	True	False
sub-076	ses-01	fmri	3	fMRI4_AP	fMRI4_AP	19			mag	4	0.937	/home/alexrees/scratch/bids/sub-076/ses-01/func/sub-076_ses-01_task-fmri_run-03_bold.nii.gz	/home/alexrees/scratch/bids/sub-076/ses-01/func/sub-076_ses-01_task-fmri_run-03_bold.json	True	True
sub-076	ses-01	fmri	4	fMRI4_AP	fMRI4_AP	20			phase	4	0.937	/home/alexrees/scratch/bids/sub-076/ses-01/func/sub-076_ses-01_task-fmri_run-04_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-076/ses-01/func/sub-076_ses-01_task-fmri_run-04_part-phase_bold.json	True	False
sub-076	ses-01	fmri	5	fMRI1_AP	fMRI1_AP	3			mag	1	0.937	/home/alexrees/scratch/bids/sub-076/ses-01/func/sub-076_ses-01_task-fmri_run-05_bold.nii.gz	/home/alexrees/scratch/bids/sub-076/ses-01/func/sub-076_ses-01_task-fmri_run-05_bold.json	True	True
sub-076	ses-01	fmri	6	fMRI1_AP	fMRI1_AP	4			phase	1	0.937	/home/alexrees/scratch/bids/sub-076/ses-01/func/sub-076_ses-01_task-fmri_run-06_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-076/ses-01/func/sub-076_ses-01_task-fmri_run-06_part-phase_bold.json	True	False
sub-076	ses-01	fmri	7	fMRI2_AP	fMRI2_AP	7			mag	2	0.937	/home/alexrees/scratch/bids/sub-076/ses-01/func/sub-076_ses-01_task-fmri_run-07_bold.nii.gz	/home/alexrees/scratch/bids/sub-076/ses-01/func/sub-076_ses-01_task-fmri_run-07_bold.json	True	True
sub-076	ses-01	fmri	8	fMRI2_AP	fMRI2_AP	8			phase	2	0.937	/home/alexrees/scratch/bids/sub-076/ses-01/func/sub-076_ses-01_task-fmri_run-08_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-076/ses-01/func/sub-076_ses-01_task-fmri_run-08_part-phase_bold.json	True	False
sub-077	ses-01	fmri	1	fMRI3_AP	fMRI3_AP	15			mag	3	0.937	/home/alexrees/scratch/bids/sub-077/ses-01/func/sub-077_ses-01_task-fmri_run-01_bold.nii.gz	/home/alexrees/scratch/bids/sub-077/ses-01/func/sub-077_ses-01_task-fmri_run-01_bold.json	True	True
sub-077	ses-01	fmri	2	fMRI3_AP	fMRI3_AP	16			phase	3	0.937	/home/alexrees/scratch/bids/sub-077/ses-01/func/sub-077_ses-01_task-fmri_run-02_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-077/ses-01/func/sub-077_ses-01_task-fmri_run-02_part-phase_bold.json	True	False
sub-077	ses-01	fmri	3	fMRI4_AP	fMRI4_AP	19			mag	4	0.937	/home/alexrees/scratch/bids/sub-077/ses-01/func/sub-077_ses-01_task-fmri_run-03_bold.nii.gz	/home/alexrees/scratch/bids/sub-077/ses-01/func/sub-077_ses-01_task-fmri_run-03_bold.json	True	True
sub-077	ses-01	fmri	4	fMRI4_AP	fMRI4_AP	20			phase	4	0.937	/home/alexrees/scratch/bids/sub-077/ses-01/func/sub-077_ses-01_task-fmri_run-04_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-077/ses-01/func/sub-077_ses-01_task-fmri_run-04_part-phase_bold.json	True	False
sub-077	ses-01	fmri	5	fMRI1_AP	fMRI1_AP	3			mag	1	0.937	/home/alexrees/scratch/bids/sub-077/ses-01/func/sub-077_ses-01_task-fmri_run-05_bold.nii.gz	/home/alexrees/scratch/bids/sub-077/ses-01/func/sub-077_ses-01_task-fmri_run-05_bold.json	True	True
sub-077	ses-01	fmri	6	fMRI1_AP	fMRI1_AP	4			phase	1	0.937	/home/alexrees/scratch/bids/sub-077/ses-01/func/sub-077_ses-01_task-fmri_run-06_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-077/ses-01/func/sub-077_ses-01_task-fmri_run-06_part-phase_bold.json	True	False
sub-077	ses-01	fmri	7	fMRI2_AP	fMRI2_AP	7			mag	2	0.937	/home/alexrees/scratch/bids/sub-077/ses-01/func/sub-077_ses-01_task-fmri_run-07_bold.nii.gz	/home/alexrees/scratch/bids/sub-077/ses-01/func/sub-077_ses-01_task-fmri_run-07_bold.json	True	True
sub-077	ses-01	fmri	8	fMRI2_AP	fMRI2_AP	8			phase	2	0.937	/home/alexrees/scratch/bids/sub-077/ses-01/func/sub-077_ses-01_task-fmri_run-08_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-077/ses-01/func/sub-077_ses-01_task-fmri_run-08_part-phase_bold.json	True	False
sub-078	ses-01	fmri	1	fMRI3_AP	fMRI3_AP	15			mag	3	0.937	/home/alexrees/scratch/bids/sub-078/ses-01/func/sub-078_ses-01_task-fmri_run-01_bold.nii.gz	/home/alexrees/scratch/bids/sub-078/ses-01/func/sub-078_ses-01_task-fmri_run-01_bold.json	True	False
sub-078	ses-01	fmri	2	fMRI3_AP	fMRI3_AP	16			phase	3	0.937	/home/alexrees/scratch/bids/sub-078/ses-01/func/sub-078_ses-01_task-fmri_run-02_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-078/ses-01/func/sub-078_ses-01_task-fmri_run-02_part-phase_bold.json	True	False
sub-078	ses-01	fmri	3	fMRI4_AP	fMRI4_AP	19			mag	4	0.937	/home/alexrees/scratch/bids/sub-078/ses-01/func/sub-078_ses-01_task-fmri_run-03_bold.nii.gz	/home/alexrees/scratch/bids/sub-078/ses-01/func/sub-078_ses-01_task-fmri_run-03_bold.json	True	False
sub-078	ses-01	fmri	4	fMRI4_AP	fMRI4_AP	20			phase	4	0.937	/home/alexrees/scratch/bids/sub-078/ses-01/func/sub-078_ses-01_task-fmri_run-04_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-078/ses-01/func/sub-078_ses-01_task-fmri_run-04_part-phase_bold.json	True	False
sub-078	ses-01	fmri	5	fMRI1_AP	fMRI1_AP	3			mag	1	0.937	/home/alexrees/scratch/bids/sub-078/ses-01/func/sub-078_ses-01_task-fmri_run-05_bold.nii.gz	/home/alexrees/scratch/bids/sub-078/ses-01/func/sub-078_ses-01_task-fmri_run-05_bold.json	True	False
sub-078	ses-01	fmri	6	fMRI1_AP	fMRI1_AP	4			phase	1	0.937	/home/alexrees/scratch/bids/sub-078/ses-01/func/sub-078_ses-01_task-fmri_run-06_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-078/ses-01/func/sub-078_ses-01_task-fmri_run-06_part-phase_bold.json	True	False
sub-078	ses-01	fmri	7	fMRI2_AP	fMRI2_AP	7			mag	2	0.937	/home/alexrees/scratch/bids/sub-078/ses-01/func/sub-078_ses-01_task-fmri_run-07_bold.nii.gz	/home/alexrees/scratch/bids/sub-078/ses-01/func/sub-078_ses-01_task-fmri_run-07_bold.json	True	False
sub-078	ses-01	fmri	8	fMRI2_AP	fMRI2_AP	8			phase	2	0.937	/home/alexrees/scratch/bids/sub-078/ses-01/func/sub-078_ses-01_task-fmri_run-08_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-078/ses-01/func/sub-078_ses-01_task-fmri_run-08_part-phase_bold.json	True	False
sub-078	ses-02	fmri	1	fMRI3_AP	fMRI3_AP	15			mag	3	0.937	/home/alexrees/scratch/bids/sub-078/ses-02/func/sub-078_ses-02_task-fmri_run-01_bold.nii.gz	/home/alexrees/scratch/bids/sub-078/ses-02/func/sub-078_ses-02_task-fmri_run-01_bold.json	True	True
sub-078	ses-02	fmri	2	fMRI3_AP	fMRI3_AP	16			phase	3	0.937	/home/alexrees/scratch/bids/sub-078/ses-02/func/sub-078_ses-02_task-fmri_run-02_part-phase_bold.nii.gz	/home/alexrees/scratch/bids/sub-078/ses-02/func/sub-078_ses-02_task-fmri_run-02_part-phase_bold.json	True	False
