relative_path	subject	session	run	filename	is_movie	is_phase	TaskName	SeriesDescription	ProtocolName	RepetitionTime	NumberOfVolumes	AcquisitionTime	AcquisitionDuration	SeriesNumber	ManufacturersModelName	error
<BIDS>/sub-045/ses-01/func/sub-045_ses-01_task-movie_run-08_part-phase_bold.json	sub-045	ses-01	run-08	sub-045_ses-01_task-movie_run-08_part-phase_bold.json	TRUE	TRUE	movie	Movie4_AP	Movie4_AP	0.937				40	Prisma	
<BIDS>/sub-045/ses-01/func/sub-045_ses-01_task-fmri_run-05_bold.json	sub-045	ses-01	run-05	sub-045_ses-01_task-fmri_run-05_bold.json	FALSE	FALSE	fmri	fMRI1_AP	fMRI1_AP	0.937				3	Prisma	
<BIDS>/sub-045/ses-01/func/sub-045_ses-01_task-movie_run-03_bold.json	sub-045	ses-01	run-03	sub-045_ses-01_task-movie_run-03_bold.json	TRUE	FALSE	movie	Movie2_AP	Movie2_AP	0.937				31	Prisma	
<BIDS>/sub-045/ses-01/func/sub-045_ses-01_task-control_run-03_bold.json	sub-045	ses-01	run-03	sub-045_ses-01_task-control_run-03_bold.json	FALSE	FALSE	control	Control2_AP	Control2_AP	0.937				51	Prisma	
<BIDS>/sub-045/ses-01/func/sub-045_ses-01_task-control_run-05_bold.json	sub-045	ses-01	run-05	sub-045_ses-01_task-control_run-05_bold.json	FALSE	FALSE	control	Control3_PA	Control3_PA	0.937				55	Prisma	
<BIDS>/sub-045/ses-01/func/sub-045_ses-01_task-movie_run-05_bold.json	sub-045	ses-01	run-05	sub-045_ses-01_task-movie_run-05_bold.json	TRUE	FALSE	movie	Movie3_AP	Movie3_AP	0.937				35	Prisma	
<BIDS>/sub-045/ses-01/func/sub-045_ses-01_task-fmri_run-03_bold.json	sub-045	ses-01	run-03	sub-045_ses-01_task-fmri_run-03_bold.json	FALSE	FALSE	fmri	fMRI4_AP	fMRI4_AP	0.937				19	Prisma	
<BIDS>/sub-045/ses-01/func/sub-045_ses-01_task-movie_run-07_bold.json	sub-045	ses-01	run-07	sub-045_ses-01_task-movie_run-07_bold.json	TRUE	FALSE	movie	Movie4_AP	Movie4_AP	0.937				39	Prisma	
<BIDS>/sub-045/ses-01/func/sub-045_ses-01_task-fmri_run-01_bold.json	sub-045	ses-01	run-01	sub-045_ses-01_task-fmri_run-01_bold.json	FALSE	FALSE	fmri	fMRI3_AP	fMRI3_AP	0.937				15	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-rest_run-02_part-phase_bold.json	sub-038	ses-02	run-02	sub-038_ses-02_task-rest_run-02_part-phase_bold.json	FALSE	TRUE	rest	REST1_AP	REST1_AP	0.937				50	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-fmri_run-02_bold.json	sub-038	ses-02	run-02	sub-038_ses-02_task-fmri_run-02_bold.json	FALSE	FALSE	fmri	fMRI3_AP	fMRI3_AP	0.937				18	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-movie_run-04_part-phase_bold.json	sub-038	ses-02	run-04	sub-038_ses-02_task-movie_run-04_part-phase_bold.json	TRUE	TRUE	movie	Movie2_AP	Movie2_AP	0.937				38	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-movie_run-02_part-phase_bold.json	sub-038	ses-02	run-02	sub-038_ses-02_task-movie_run-02_part-phase_bold.json	TRUE	TRUE	movie	Movie1_AP	Movie1_AP	0.937				34	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-fmri_run-09_part-phase_bold.json	sub-038	ses-02	run-09	sub-038_ses-02_task-fmri_run-09_part-phase_bold.json	FALSE	TRUE	fmri	fMRI1_AP	fMRI1_AP	0.937				6	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-fmri_run-06_bold.json	sub-038	ses-02	run-06	sub-038_ses-02_task-fmri_run-06_bold.json	FALSE	FALSE	fmri	fMRI4_AP	fMRI4_AP	0.937				25	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-fmri_run-04_bold.json	sub-038	ses-02	run-04	sub-038_ses-02_task-fmri_run-04_bold.json	FALSE	FALSE	fmri	fMRI3_AP	fMRI3_AP	0.937				21	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-movie_run-03_bold.json	sub-038	ses-02	run-03	sub-038_ses-02_task-movie_run-03_bold.json	TRUE	FALSE	movie	Movie2_AP	Movie2_AP	0.937				37	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-fmri_run-05_part-phase_bold.json	sub-038	ses-02	run-05	sub-038_ses-02_task-fmri_run-05_part-phase_bold.json	FALSE	TRUE	fmri	fMRI3_AP	fMRI3_AP	0.937				22	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-movie_run-01_bold.json	sub-038	ses-02	run-01	sub-038_ses-02_task-movie_run-01_bold.json	TRUE	FALSE	movie	Movie1_AP	Movie1_AP	0.937				33	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-fmri_run-08_bold.json	sub-038	ses-02	run-08	sub-038_ses-02_task-fmri_run-08_bold.json	FALSE	FALSE	fmri	fMRI1_AP	fMRI1_AP	0.937				5	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-control_run-04_part-phase_bold.json	sub-038	ses-02	run-04	sub-038_ses-02_task-control_run-04_part-phase_bold.json	FALSE	TRUE	control	Control2_AP	Control2_AP	0.937				58	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-movie_run-08_part-phase_bold.json	sub-038	ses-02	run-08	sub-038_ses-02_task-movie_run-08_part-phase_bold.json	TRUE	TRUE	movie	Movie4_AP	Movie4_AP	0.937				46	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-movie_run-07_bold.json	sub-038	ses-02	run-07	sub-038_ses-02_task-movie_run-07_bold.json	TRUE	FALSE	movie	Movie4_AP	Movie4_AP	0.937				45	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-control_run-02_part-phase_bold.json	sub-038	ses-02	run-02	sub-038_ses-02_task-control_run-02_part-phase_bold.json	FALSE	TRUE	control	Control1_PA	Control1_PA	0.937				15	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-rest_run-01_bold.json	sub-038	ses-02	run-01	sub-038_ses-02_task-rest_run-01_bold.json	FALSE	FALSE	rest	REST1_AP	REST1_AP	0.937				49	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-fmri_run-03_part-phase_bold.json	sub-038	ses-02	run-03	sub-038_ses-02_task-fmri_run-03_part-phase_bold.json	FALSE	TRUE	fmri	fMRI3_AP	fMRI3_AP	0.937				19	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-movie_run-05_bold.json	sub-038	ses-02	run-05	sub-038_ses-02_task-movie_run-05_bold.json	TRUE	FALSE	movie	Movie3_AP	Movie3_AP	0.937				41	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-movie_run-06_part-phase_bold.json	sub-038	ses-02	run-06	sub-038_ses-02_task-movie_run-06_part-phase_bold.json	TRUE	TRUE	movie	Movie3_AP	Movie3_AP	0.937				42	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-control_run-01_bold.json	sub-038	ses-02	run-01	sub-038_ses-02_task-control_run-01_bold.json	FALSE	FALSE	control	Control1_PA	Control1_PA	0.937				14	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-control_run-03_bold.json	sub-038	ses-02	run-03	sub-038_ses-02_task-control_run-03_bold.json	FALSE	FALSE	control	Control2_AP	Control2_AP	0.937				57	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-control_run-05_bold.json	sub-038	ses-02	run-05	sub-038_ses-02_task-control_run-05_bold.json	FALSE	FALSE	control	Control3_PA	Control3_PA	0.937				61	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-control_run-06_part-phase_bold.json	sub-038	ses-02	run-06	sub-038_ses-02_task-control_run-06_part-phase_bold.json	FALSE	TRUE	control	Control3_PA	Control3_PA	0.937				62	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-fmri_run-07_part-phase_bold.json	sub-038	ses-02	run-07	sub-038_ses-02_task-fmri_run-07_part-phase_bold.json	FALSE	TRUE	fmri	fMRI4_AP	fMRI4_AP	0.937				26	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-fmri_run-01_part-phase_bold.json	sub-038	ses-02	run-01	sub-038_ses-02_task-fmri_run-01_part-phase_bold.json	FALSE	TRUE	fmri	fMRI2_AP	fMRI2_AP	0.937				10	Prisma	
<BIDS>/sub-038/ses-02/func/sub-038_ses-02_task-fmri_run-10_bold.json	sub-038	ses-02	run-10	sub-038_ses-02_task-fmri_run-10_bold.json	FALSE	FALSE	fmri	fMRI2_AP	fMRI2_AP	0.937				9	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-fmri_run-01_bold.json	sub-038	ses-01	run-01	sub-038_ses-01_task-fmri_run-01_bold.json	FALSE	FALSE	fmri	fMRI3_AP	fMRI3_AP	0.937				15	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-fmri_run-03_bold.json	sub-038	ses-01	run-03	sub-038_ses-01_task-fmri_run-03_bold.json	FALSE	FALSE	fmri	fMRI4_AP	fMRI4_AP	0.937				19	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-fmri_run-02_part-phase_bold.json	sub-038	ses-01	run-02	sub-038_ses-01_task-fmri_run-02_part-phase_bold.json	FALSE	TRUE	fmri	fMRI3_AP	fMRI3_AP	0.937				16	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-fmri_run-04_part-phase_bold.json	sub-038	ses-01	run-04	sub-038_ses-01_task-fmri_run-04_part-phase_bold.json	FALSE	TRUE	fmri	fMRI4_AP	fMRI4_AP	0.937				20	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-fmri_run-05_bold.json	sub-038	ses-01	run-05	sub-038_ses-01_task-fmri_run-05_bold.json	FALSE	FALSE	fmri	fMRI1_AP	fMRI1_AP	0.937				3	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-rest_run-02_part-phase_bold.json	sub-038	ses-01	run-02	sub-038_ses-01_task-rest_run-02_part-phase_bold.json	FALSE	TRUE	rest	REST1_AP	REST1_AP	0.937				44	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-movie_run-08_part-phase_bold.json	sub-038	ses-01	run-08	sub-038_ses-01_task-movie_run-08_part-phase_bold.json	TRUE	TRUE	movie	Movie4_AP	Movie4_AP	0.937				40	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-fmri_run-07_bold.json	sub-038	ses-01	run-07	sub-038_ses-01_task-fmri_run-07_bold.json	FALSE	FALSE	fmri	fMRI2_AP	fMRI2_AP	0.937				7	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-control_run-02_part-phase_bold.json	sub-038	ses-01	run-02	sub-038_ses-01_task-control_run-02_part-phase_bold.json	FALSE	TRUE	control	Control1_PA	Control1_PA	0.937				13	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-movie_run-04_part-phase_bold.json	sub-038	ses-01	run-04	sub-038_ses-01_task-movie_run-04_part-phase_bold.json	TRUE	TRUE	movie	Movie2_AP	Movie2_AP	0.937				32	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-control_run-01_bold.json	sub-038	ses-01	run-01	sub-038_ses-01_task-control_run-01_bold.json	FALSE	FALSE	control	Control1_PA	Control1_PA	0.937				12	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-control_run-03_bold.json	sub-038	ses-01	run-03	sub-038_ses-01_task-control_run-03_bold.json	FALSE	FALSE	control	Control2_AP	Control2_AP	0.937				51	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-fmri_run-08_part-phase_bold.json	sub-038	ses-01	run-08	sub-038_ses-01_task-fmri_run-08_part-phase_bold.json	FALSE	TRUE	fmri	fMRI2_AP	fMRI2_AP	0.937				8	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-control_run-05_bold.json	sub-038	ses-01	run-05	sub-038_ses-01_task-control_run-05_bold.json	FALSE	FALSE	control	Control3_PA	Control3_PA	0.937				55	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-rest_run-01_bold.json	sub-038	ses-01	run-01	sub-038_ses-01_task-rest_run-01_bold.json	FALSE	FALSE	rest	REST1_AP	REST1_AP	0.937				43	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-movie_run-02_part-phase_bold.json	sub-038	ses-01	run-02	sub-038_ses-01_task-movie_run-02_part-phase_bold.json	TRUE	TRUE	movie	Movie1_AP	Movie1_AP	0.937				28	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-control_run-04_part-phase_bold.json	sub-038	ses-01	run-04	sub-038_ses-01_task-control_run-04_part-phase_bold.json	FALSE	TRUE	control	Control2_AP	Control2_AP	0.937				52	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-movie_run-03_bold.json	sub-038	ses-01	run-03	sub-038_ses-01_task-movie_run-03_bold.json	TRUE	FALSE	movie	Movie2_AP	Movie2_AP	0.937				31	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-movie_run-01_bold.json	sub-038	ses-01	run-01	sub-038_ses-01_task-movie_run-01_bold.json	TRUE	FALSE	movie	Movie1_AP	Movie1_AP	0.937				27	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-movie_run-07_bold.json	sub-038	ses-01	run-07	sub-038_ses-01_task-movie_run-07_bold.json	TRUE	FALSE	movie	Movie4_AP	Movie4_AP	0.937				39	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-fmri_run-06_part-phase_bold.json	sub-038	ses-01	run-06	sub-038_ses-01_task-fmri_run-06_part-phase_bold.json	FALSE	TRUE	fmri	fMRI1_AP	fMRI1_AP	0.937				4	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-movie_run-05_bold.json	sub-038	ses-01	run-05	sub-038_ses-01_task-movie_run-05_bold.json	TRUE	FALSE	movie	Movie3_AP	Movie3_AP	0.937				35	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-movie_run-06_part-phase_bold.json	sub-038	ses-01	run-06	sub-038_ses-01_task-movie_run-06_part-phase_bold.json	TRUE	TRUE	movie	Movie3_AP	Movie3_AP	0.937				36	Prisma	
<BIDS>/sub-038/ses-01/func/sub-038_ses-01_task-control_run-06_part-phase_bold.json	sub-038	ses-01	run-06	sub-038_ses-01_task-control_run-06_part-phase_bold.json	FALSE	TRUE	control	Control3_PA	Control3_PA	0.937				56	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-control_run-01_bold.json	sub-036	ses-01	run-01	sub-036_ses-01_task-control_run-01_bold.json	FALSE	FALSE	control	Control1_PA	Control1_PA	0.937				12	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-movie_run-04_part-phase_bold.json	sub-036	ses-01	run-04	sub-036_ses-01_task-movie_run-04_part-phase_bold.json	TRUE	TRUE	movie	Movie2_AP	Movie2_AP	0.937				32	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-control_run-04_part-phase_bold.json	sub-036	ses-01	run-04	sub-036_ses-01_task-control_run-04_part-phase_bold.json	FALSE	TRUE	control	Control2_AP	Control2_AP	0.937				52	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-fmri_run-02_part-phase_bold.json	sub-036	ses-01	run-02	sub-036_ses-01_task-fmri_run-02_part-phase_bold.json	FALSE	TRUE	fmri	fMRI3_AP	fMRI3_AP	0.937				16	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-control_run-03_bold.json	sub-036	ses-01	run-03	sub-036_ses-01_task-control_run-03_bold.json	FALSE	FALSE	control	Control2_AP	Control2_AP	0.937				51	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-control_run-02_part-phase_bold.json	sub-036	ses-01	run-02	sub-036_ses-01_task-control_run-02_part-phase_bold.json	FALSE	TRUE	control	Control1_PA	Control1_PA	0.937				13	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-fmri_run-04_part-phase_bold.json	sub-036	ses-01	run-04	sub-036_ses-01_task-fmri_run-04_part-phase_bold.json	FALSE	TRUE	fmri	fMRI4_AP	fMRI4_AP	0.937				20	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-control_run-05_bold.json	sub-036	ses-01	run-05	sub-036_ses-01_task-control_run-05_bold.json	FALSE	FALSE	control	Control3_PA	Control3_PA	0.937				55	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-movie_run-02_part-phase_bold.json	sub-036	ses-01	run-02	sub-036_ses-01_task-movie_run-02_part-phase_bold.json	TRUE	TRUE	movie	Movie1_AP	Movie1_AP	0.937				28	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-rest_run-02_part-phase_bold.json	sub-036	ses-01	run-02	sub-036_ses-01_task-rest_run-02_part-phase_bold.json	FALSE	TRUE	rest	REST1_AP	REST1_AP	0.937				44	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-rest_run-01_bold.json	sub-036	ses-01	run-01	sub-036_ses-01_task-rest_run-01_bold.json	FALSE	FALSE	rest	REST1_AP	REST1_AP	0.937				43	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-fmri_run-01_bold.json	sub-036	ses-01	run-01	sub-036_ses-01_task-fmri_run-01_bold.json	FALSE	FALSE	fmri	fMRI3_AP	fMRI3_AP	0.937				15	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-fmri_run-03_bold.json	sub-036	ses-01	run-03	sub-036_ses-01_task-fmri_run-03_bold.json	FALSE	FALSE	fmri	fMRI4_AP	fMRI4_AP	0.937				19	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-fmri_run-08_part-phase_bold.json	sub-036	ses-01	run-08	sub-036_ses-01_task-fmri_run-08_part-phase_bold.json	FALSE	TRUE	fmri	fMRI2_AP	fMRI2_AP	0.937				8	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-fmri_run-05_bold.json	sub-036	ses-01	run-05	sub-036_ses-01_task-fmri_run-05_bold.json	FALSE	FALSE	fmri	fMRI1_AP	fMRI1_AP	0.937				3	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-movie_run-08_part-phase_bold.json	sub-036	ses-01	run-08	sub-036_ses-01_task-movie_run-08_part-phase_bold.json	TRUE	TRUE	movie	Movie4_AP	Movie4_AP	0.937				40	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-fmri_run-07_bold.json	sub-036	ses-01	run-07	sub-036_ses-01_task-fmri_run-07_bold.json	FALSE	FALSE	fmri	fMRI2_AP	fMRI2_AP	0.937				7	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-control_run-06_part-phase_bold.json	sub-036	ses-01	run-06	sub-036_ses-01_task-control_run-06_part-phase_bold.json	FALSE	TRUE	control	Control3_PA	Control3_PA	0.937				56	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-movie_run-06_part-phase_bold.json	sub-036	ses-01	run-06	sub-036_ses-01_task-movie_run-06_part-phase_bold.json	TRUE	TRUE	movie	Movie3_AP	Movie3_AP	0.937				36	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-fmri_run-06_part-phase_bold.json	sub-036	ses-01	run-06	sub-036_ses-01_task-fmri_run-06_part-phase_bold.json	FALSE	TRUE	fmri	fMRI1_AP	fMRI1_AP	0.937				4	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-movie_run-03_bold.json	sub-036	ses-01	run-03	sub-036_ses-01_task-movie_run-03_bold.json	TRUE	FALSE	movie	Movie2_AP	Movie2_AP	0.937				31	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-movie_run-01_bold.json	sub-036	ses-01	run-01	sub-036_ses-01_task-movie_run-01_bold.json	TRUE	FALSE	movie	Movie1_AP	Movie1_AP	0.937				27	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-movie_run-07_bold.json	sub-036	ses-01	run-07	sub-036_ses-01_task-movie_run-07_bold.json	TRUE	FALSE	movie	Movie4_AP	Movie4_AP	0.937				39	Prisma	
<BIDS>/sub-036/ses-01/func/sub-036_ses-01_task-movie_run-05_bold.json	sub-036	ses-01	run-05	sub-036_ses-01_task-movie_run-05_bold.json	TRUE	FALSE	movie	Movie3_AP	Movie3_AP	0.937				35	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-fmri_run-04_part-phase_bold.json	sub-036	ses-02	run-04	sub-036_ses-02_task-fmri_run-04_part-phase_bold.json	FALSE	TRUE	fmri	fMRI4_AP	fMRI4_AP	0.937				20	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-rest_run-02_part-phase_bold.json	sub-036	ses-02	run-02	sub-036_ses-02_task-rest_run-02_part-phase_bold.json	FALSE	TRUE	rest	REST1_AP	REST1_AP	0.937				44	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-control_run-05_bold.json	sub-036	ses-02	run-05	sub-036_ses-02_task-control_run-05_bold.json	FALSE	FALSE	control	Control3_PA	Control3_PA	0.937				55	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-control_run-03_bold.json	sub-036	ses-02	run-03	sub-036_ses-02_task-control_run-03_bold.json	FALSE	FALSE	control	Control2_AP	Control2_AP	0.937				51	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-fmri_run-02_part-phase_bold.json	sub-036	ses-02	run-02	sub-036_ses-02_task-fmri_run-02_part-phase_bold.json	FALSE	TRUE	fmri	fMRI3_AP	fMRI3_AP	0.937				16	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-control_run-01_bold.json	sub-036	ses-02	run-01	sub-036_ses-02_task-control_run-01_bold.json	FALSE	FALSE	control	Control1_PA	Control1_PA	0.937				12	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-movie_run-03_bold.json	sub-036	ses-02	run-03	sub-036_ses-02_task-movie_run-03_bold.json	TRUE	FALSE	movie	Movie2_AP	Movie2_AP	0.937				31	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-movie_run-01_bold.json	sub-036	ses-02	run-01	sub-036_ses-02_task-movie_run-01_bold.json	TRUE	FALSE	movie	Movie1_AP	Movie1_AP	0.937				27	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-control_run-04_part-phase_bold.json	sub-036	ses-02	run-04	sub-036_ses-02_task-control_run-04_part-phase_bold.json	FALSE	TRUE	control	Control2_AP	Control2_AP	0.937				52	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-control_run-02_part-phase_bold.json	sub-036	ses-02	run-02	sub-036_ses-02_task-control_run-02_part-phase_bold.json	FALSE	TRUE	control	Control1_PA	Control1_PA	0.937				13	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-movie_run-07_bold.json	sub-036	ses-02	run-07	sub-036_ses-02_task-movie_run-07_bold.json	TRUE	FALSE	movie	Movie4_AP	Movie4_AP	0.937				39	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-fmri_run-08_part-phase_bold.json	sub-036	ses-02	run-08	sub-036_ses-02_task-fmri_run-08_part-phase_bold.json	FALSE	TRUE	fmri	fMRI2_AP	fMRI2_AP	0.937				8	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-movie_run-05_bold.json	sub-036	ses-02	run-05	sub-036_ses-02_task-movie_run-05_bold.json	TRUE	FALSE	movie	Movie3_AP	Movie3_AP	0.937				35	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-movie_run-06_part-phase_bold.json	sub-036	ses-02	run-06	sub-036_ses-02_task-movie_run-06_part-phase_bold.json	TRUE	TRUE	movie	Movie3_AP	Movie3_AP	0.937				36	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-fmri_run-01_bold.json	sub-036	ses-02	run-01	sub-036_ses-02_task-fmri_run-01_bold.json	FALSE	FALSE	fmri	fMRI3_AP	fMRI3_AP	0.937				15	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-fmri_run-06_part-phase_bold.json	sub-036	ses-02	run-06	sub-036_ses-02_task-fmri_run-06_part-phase_bold.json	FALSE	TRUE	fmri	fMRI1_AP	fMRI1_AP	0.937				4	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-movie_run-08_part-phase_bold.json	sub-036	ses-02	run-08	sub-036_ses-02_task-movie_run-08_part-phase_bold.json	TRUE	TRUE	movie	Movie4_AP	Movie4_AP	0.937				40	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-fmri_run-03_bold.json	sub-036	ses-02	run-03	sub-036_ses-02_task-fmri_run-03_bold.json	FALSE	FALSE	fmri	fMRI4_AP	fMRI4_AP	0.937				19	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-fmri_run-05_bold.json	sub-036	ses-02	run-05	sub-036_ses-02_task-fmri_run-05_bold.json	FALSE	FALSE	fmri	fMRI1_AP	fMRI1_AP	0.937				3	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-fmri_run-07_bold.json	sub-036	ses-02	run-07	sub-036_ses-02_task-fmri_run-07_bold.json	FALSE	FALSE	fmri	fMRI2_AP	fMRI2_AP	0.937				7	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-control_run-06_part-phase_bold.json	sub-036	ses-02	run-06	sub-036_ses-02_task-control_run-06_part-phase_bold.json	FALSE	TRUE	control	Control3_PA	Control3_PA	0.937				56	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-movie_run-02_part-phase_bold.json	sub-036	ses-02	run-02	sub-036_ses-02_task-movie_run-02_part-phase_bold.json	TRUE	TRUE	movie	Movie1_AP	Movie1_AP	0.937				28	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-movie_run-04_part-phase_bold.json	sub-036	ses-02	run-04	sub-036_ses-02_task-movie_run-04_part-phase_bold.json	TRUE	TRUE	movie	Movie2_AP	Movie2_AP	0.937				32	Prisma	
<BIDS>/sub-036/ses-02/func/sub-036_ses-02_task-rest_run-01_bold.json	sub-036	ses-02	run-01	sub-036_ses-02_task-rest_run-01_bold.json	FALSE	FALSE	rest	REST1_AP	REST1_AP	0.937				43	Prisma	
<BIDS>/sub-041/ses-01/func/sub-041_ses-01_task-fmri_run-06_part-phase_bold.json	sub-041	ses-01	run-06	sub-041_ses-01_task-fmri_run-06_part-phase_bold.json	FALSE	TRUE	fmri	fMRI4_AP	fMRI4_AP	0.937				24	Prisma	
<BIDS>/sub-041/ses-01/func/sub-041_ses-01_task-control_run-05_bold.json	sub-041	ses-01	run-05	sub-041_ses-01_task-control_run-05_bold.json	FALSE	FALSE	control	Control3_PA	Control3_PA	0.937				59	Prisma	
